Ammonia(N),Temp Water,pH,O Diss %sat,Orthophospht,target
0.2,5.7,7.94,93.4,0.13,0
0.036,7.6,7.63,88.8,0.047,0
0.051,6.5,7.8,87.8,0.19,0
0.065,4.7,7.99,88.6,0.18,0
0.03,5.2,7.88,83.4,0.42,0
0.051,4.4,8.14,96.6,0.073,0
0.085,6.3,8.03,84.4,0.097,0
0.037,6.3,7.6,65.2,0.53,0
0.046,6.8,7.73,90.3,0.12,0
0.14,4.3,7.92,92.2,0.13,0
0.05,8.4,8.6,83.5,0.18,0
0.03,7.4,7.5,85.2,0.022,0
56.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,4.9,8.18,100.7,0.041,0
0.077,3.9,8.13,97.1,0.044,0
0.7890097962962963,3.2,7.71,80.4,0.1352702980688497,0
0.046,4.0,8.05,95.6,0.05,0
0.17,6.5,7.75,91.4,0.084,0
0.45,4.7,7.77,91.8,0.062,0
0.25,4.7,7.82,92.5,0.13,0
0.078,7.0,7.66,82.9,0.097,0
0.061,3.2,7.71,80.4,0.11,0
0.03,4.5,7.52,75.9,0.16,0
0.072,4.1,7.82,89.5,0.091,0
0.034,6.0,7.82,90.5,0.055,0
0.068,5.0,7.74,89.5,0.09,0
0.031,5.2,7.94,95.0,0.074,0
0.03,2.0,8.36,100.9,0.033,0
0.035,3.8,8.37,101.3,0.037,0
0.03,3.6,8.35,100.7,0.035,0
0.03,5.4,8.25,99.5,0.048,0
0.03,6.7,7.66,90.2,0.047,0
0.03,6.9,7.9,93.6,0.059,0
1.1,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.38,3.5,8.01,92.9,0.032,0
0.71,6.8,7.91,89.1,0.033,0
0.66,7.1,7.92,86.7,0.028,0
0.058,0.9,8.13,92.1,0.083,0
0.055,6.4,8.21,93.6,0.14,0
1.4,6.4,8.05,88.7,0.22,0
0.15,6.6,7.74,75.5,0.095,0
0.052,6.8,7.83,80.4,0.073,0
0.15,6.1,7.18,85.6,0.067,0
0.069,5.2,7.67,83.2,0.057,0
0.068,5.8,8.29,94.2,0.14,0
0.067,6.9,7.7639590666403,87.6,0.069,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.59,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.042,6.1,8.21,92.2,0.047,0
0.34,7.6,7.73,80.6,0.065,0
0.11,6.4,8.37,94.2,0.089,0
0.07,6.5,8.28,93.6,0.077,0
0.049,5.6,7.8,88.8,0.062,0
0.41,6.6,7.84,88.4,0.056,0
0.13,5.4,7.92,90.5,0.068,0
11.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.14,6.0,7.84,94.6,0.082,0
0.081,5.9,8.19,91.4,0.08,0
0.053,6.0,7.9,96.4,0.066,0
0.074,6.4,7.81,88.8,0.081,0
0.7890097962962963,5.973470599146726,7.28,93.87625272331155,0.1352702980688497,1
0.75,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,5.8,8.16,98.2,0.053,0
0.089,3.5,8.06,93.4,0.068,0
0.046,5.3,8.17,90.4,0.08,0
0.044,7.6,7.96,76.8,0.058,0
0.049,5.9,8.09,98.1,0.061,0
0.092,3.0,8.2,97.8,0.071,0
0.054,4.7,8.31,96.7,0.063,0
0.082,4.0,8.03,98.4,0.12,0
0.062,5.9,7.88,90.3,0.051,0
0.14,5.8,7.63,79.5,0.12,0
0.037,7.0,7.78,92.5,0.028,0
0.03,8.5,7.53,80.4,0.038,0
0.7890097962962963,5.973470599146726,7.965,93.87625272331155,0.1352702980688497,1
0.7890097962962963,5.973470599146726,7.803,93.87625272331155,0.1352702980688497,1
0.7890097962962963,5.973470599146726,7.783,93.87625272331155,0.1352702980688497,1
0.071,5.7,7.97,90.1,0.057,0
0.051,5.8,7.94,94.3,0.055,0
1.7,4.1,7.38,68.6,0.01,0
0.14,5.9,7.84,91.6,0.17,0
0.7890097962962963,5.973470599146726,7.83,93.87625272331155,0.1352702980688497,0
6.4,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.71,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
27.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.36,4.1,7.71,87.1,0.079,0
0.7,6.8,7.71,91.8,0.061,0
0.03,5.3,8.22,96.6,0.041,0
0.03,1.1,8.49,92.4,0.029,0
0.032,5.2,8.31,99.6,0.038,0
0.05,4.5,8.25,98.7,0.041,0
0.032,5.1,8.19,97.2,0.043,0
0.049,4.1,8.1,92.7,0.067,0
0.18,3.7,7.62,82.2,0.04,0
0.23,5.2,7.87,100.4,0.036,0
0.58,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
1.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
19.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
25.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
1.6,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.14,6.1,7.95,98.0,0.089,0
0.086,8.3,7.62,81.0,0.084,0
0.2,5.2,7.94,90.0,0.093,0
0.13,4.6,8.09,90.6,0.066,0
0.11,4.9,7.71,86.6,0.043,0
0.7890097962962963,2.2,7.7639590666403,82.5,0.1352702980688497,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
5.4,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.055,6.2,7.8,90.2,0.083,0
0.093,6.3,7.86,89.1,0.081,0
0.075,7.2,8.19,93.0,0.079,0
0.03,4.6,7.84,91.5,0.063,0
0.033,7.4,8.04,96.4,0.056,0
0.066,6.2,8.11,95.8,0.048,0
0.11,5.4,7.96,90.0,0.041,0
0.1,5.5,7.88,92.8,0.036,0
0.1,4.3,7.7,91.0,0.021,0
0.11,7.6,7.67,88.0,0.17,0
0.25,5.7,7.65,83.4,0.062,0
0.7890097962962963,2.1,7.7639590666403,83.8,0.1352702980688497,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,8.5,8.16,98.0,0.033,0
0.03,8.7,8.15,93.9,0.04,0
0.041,9.4,7.87,93.7,0.018,0
0.7890097962962963,5.973470599146726,7.57,93.87625272331155,0.1352702980688497,1
0.03,9.0,8.06,98.7,0.035,0
5.9,5.973470599146726,7.53,93.87625272331155,0.1352702980688497,1
2.6,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.054,6.0,8.0,88.3,0.092,0
