Ammonia(N),Temp Water,pH,O Diss %sat,Orthophospht,target
0.069,3.0,7.83,88.1,0.053,0
0.087,6.7,7.68,82.8,0.031,0
0.038,5.0,7.83,95.1,0.064,0
0.049,7.0,7.91,97.7,0.031,0
0.046,5.8,8.24,96.8,0.043,0
0.068,3.4,7.27,83.0,0.027,0
0.088,2.8,7.74,92.0,0.075,0
0.17,3.7,7.72,83.6,0.048,0
0.03,8.1,7.64,82.4,0.038,0
0.049,7.5,7.8,89.2,0.025,0
0.5,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.2,4.7,7.59,61.4,0.044,0
0.7890097962962963,3.8,8.26,88.5,0.1352702980688497,0
0.7890097962962963,4.6,7.86,68.8,0.1352702980688497,0
0.7890097962962963,3.7,8.0,87.7,0.1352702980688497,0
0.13,4.0,8.14,87.4,0.026,0
0.7890097962962963,2.6,7.4,30.4,0.1352702980688497,0
0.7890097962962963,2.1,7.44,65.7,0.1352702980688497,0
0.7890097962962963,5.8,8.02,78.4,0.1352702980688497,0
0.7890097962962963,2.8,7.9,86.6,0.1352702980688497,0
0.15,3.2,7.84,83.4,0.042,0
0.03,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.034,6.2,8.31,101.4,0.037,0
1.6,4.7,8.04,84.5,0.59,0
0.03,5.2,8.23,98.7,0.024,0
0.03,2.8,8.21,98.5,0.048,0
0.03,4.4,8.28,97.8,0.039,0
0.16,6.9,8.0,91.3,0.063,0
0.03,4.2,8.06,95.3,0.016,0
0.03,5.4,8.07,96.1,0.014,0
26.0,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.067,5.2,8.15,97.8,0.047,0
0.11,6.6,7.96,94.3,0.053,0
0.03,8.1,8.26,98.4,0.01,0
0.09,6.8,7.98,92.0,0.33,0
0.03,6.6,8.02,99.5,0.06,0
0.03,9.2,7.38,93.4,0.021,0
0.058,5.6,7.7639590666403,90.0,0.035,0
0.06,2.4,7.9,95.7,0.12,0
0.058,4.3,8.14,97.2,0.067,0
0.04,4.5,8.25,100.7,0.062,0
0.7890097962962963,4.6,7.7639590666403,97.5,0.1352702980688497,0
0.7890097962962963,4.7,7.7639590666403,96.8,0.1352702980688497,0
0.7890097962962963,4.0,7.7639590666403,94.9,0.1352702980688497,0
0.7890097962962963,4.0,7.7639590666403,95.1,0.1352702980688497,0
0.7890097962962963,4.0,7.7639590666403,96.7,0.1352702980688497,0
0.043,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.7890097962962963,4.0,7.7639590666403,96.0,0.1352702980688497,0
0.7890097962962963,3.8,7.7639590666403,96.1,0.1352702980688497,0
0.7890097962962963,3.8,7.7639590666403,97.1,0.1352702980688497,0
4.1,5.973470599146726,7.7639590666403,93.87625272331155,3.5,1
0.7890097962962963,5.973470599146726,7.94,93.87625272331155,0.1352702980688497,0
0.041,5.2,8.21,99.6,0.073,0
0.03,6.7,8.01,94.6,0.053,0
0.056,4.9,8.24,96.5,0.035,0
0.045,5.2,8.27,96.7,0.022,0
0.053,5.7,8.26,100.0,0.033,0
0.22,5.1,7.56,84.1,0.032,0
0.03,4.7,8.16,97.3,0.035,0
0.7890097962962963,5.973470599146726,8.0,93.87625272331155,0.1352702980688497,0
0.12,5.4,8.12,96.6,0.18,0
0.14,6.9,8.01,90.6,0.23,0
0.11,6.8,8.18,98.4,0.23,0
0.03,3.2,8.18,96.8,0.036,0
0.03,4.1,8.12,97.8,0.036,0
0.036,6.1,8.3,96.6,0.034,0
0.03,4.8,8.14,98.5,0.033,0
1.6,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.043,6.4,8.08,95.3,0.26,0
0.7890097962962963,5.973470599146726,7.74,93.87625272331155,0.1352702980688497,1
0.7890097962962963,5.973470599146726,7.85,93.87625272331155,0.1352702980688497,1
0.041,3.4,8.26,98.4,0.092,0
0.03,8.6,6.63,82.0,0.028,0
0.043,3.5,7.68,86.5,0.2,0
0.7890097962962963,5.973470599146726,7.81,93.87625272331155,0.1352702980688497,1
0.068,5.2,8.18,89.8,0.24,0
0.057,6.2,8.16,96.4,0.47,0
0.03,3.0,8.18,95.9,0.038,0
0.035,4.2,8.11,97.1,0.053,0
0.03,6.6,8.36,96.2,0.031,0
0.03,5.1,8.22,97.9,0.028,0
0.03,6.2,7.77,96.9,0.031,0
0.03,5.2,8.11,98.1,0.05,0
0.03,3.9,8.15,100.2,0.051,0
0.03,5.3,8.11,99.2,0.03,0
0.03,2.5,8.2,98.6,0.04,0
0.03,5.5,8.06,98.9,0.034,0
0.043,6.0,8.01,98.3,0.092,0
0.083,5.5,8.01,93.5,0.073,0
0.035,3.7,7.89,95.1,0.13,0
0.7890097962962963,5.973470599146726,8.23,93.87625272331155,0.1352702980688497,1
1.1,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
1.2,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.03,4.8,8.05,97.4,0.096,0
0.047,6.2,7.75,97.3,0.047,0
0.03,6.5,7.96,96.4,0.053,0
0.03,4.6,7.76,97.2,0.052,0
0.03,9.5,7.81,93.0,0.054,0
0.03,8.2,7.74,93.1,0.051,0
0.03,6.5,8.03,94.6,0.068,0
0.049,7.9,7.86,92.2,0.063,0
0.03,7.9,7.7,91.1,0.17,0
0.031,6.3,8.25,98.4,0.079,0
0.03,6.3,8.21,98.3,0.076,0
0.03,6.4,8.19,99.0,0.055,0
0.7890097962962963,5.973470599146726,7.6,93.87625272331155,0.1352702980688497,1
0.41,4.2,8.15,94.7,0.12,0
0.7890097962962963,5.0,8.3,98.0,0.1352702980688497,0
0.049,6.2,7.89,99.2,0.047,0
0.095,2.6,8.13,98.8,0.08,0
0.03,6.3,8.21,95.7,0.049,0
0.038,6.1,8.05,91.2,0.057,0
0.062,5.7,8.07,92.0,0.052,0
0.7890097962962963,6.0,8.24,88.7,0.1352702980688497,0
0.7890097962962963,4.7,8.15,88.6,0.1352702980688497,0
0.7890097962962963,3.9,7.85,83.9,0.1352702980688497,0
0.08,3.9,7.85,83.9,0.038,0
0.7890097962962963,3.8,7.79,80.1,0.1352702980688497,0
0.7890097962962963,4.9,8.05,93.1,0.1352702980688497,0
0.03,6.2,7.87,97.2,0.1,0
0.7890097962962963,4.0,7.7639590666403,89.9,0.1352702980688497,0
0.03,6.6,8.21,98.3,0.079,0
0.079,5.8,8.11,95.4,0.38,0
0.03,6.1,8.23,97.0,0.063,0
0.062,3.8,8.07,96.2,0.049,0
0.11,3.9,7.78,98.2,0.041,0
0.081,4.4,8.21,100.1,0.04,0
0.046,6.6,7.95,90.9,0.045,0
0.65,7.1,8.3,96.7,0.018,0
0.03,7.9,8.2,99.1,0.055,0
0.03,4.4,8.29,101.6,0.017,0
0.85,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.86,5.973470599146726,7.7639590666403,93.87625272331155,0.1352702980688497,1
0.7890097962962963,5.3,7.7639590666403,97.2,0.1352702980688497,0
0.065,5.1,8.23,97.4,0.24,0
0.071,3.8,8.09,99.1,0.16,0
0.048,7.0,8.18,96.4,0.21,0
0.065,4.9,7.99,94.9,0.14,0
0.04,6.5,8.23,94.4,0.13,0
0.03,3.4,8.24,97.2,0.096,0
0.03,4.1,8.17,98.0,0.074,0
0.043,6.1,8.35,97.9,0.11,0
0.037,4.5,8.18,97.9,0.12,0
0.099,5.1,7.76,92.3,0.039,0
0.05,5.4,8.04,95.2,0.09,0
0.04,5.3,7.85,95.3,0.073,0
0.03,5.1,8.08,96.2,0.052,0
0.03,6.3,8.04,99.2,0.048,0
0.03,6.4,7.89,94.6,0.036,0
0.03,6.6,7.97,96.1,0.041,0
0.03,6.2,8.08,95.6,0.083,0
0.17,3.3,8.35,102.2,0.2,0
0.045,5.6,8.15,86.8,0.086,0
0.25,4.8,8.09,94.4,0.13,0
0.7890097962962963,6.5,8.47,92.7,0.1352702980688497,0
0.7890097962962963,4.0,8.22,98.9,0.1352702980688497,0
0.13,5.7,8.18,97.6,0.1,0
0.05,6.6,7.7639590666403,90.4,0.087,0
0.031,6.7,8.04,95.2,0.045,0
0.03,5.0,8.21,91.6,0.022,0
0.7890097962962963,2.8,8.36,94.4,0.1352702980688497,0
0.7890097962962963,5.6,7.7639590666403,96.2,0.1352702980688497,0
0.7890097962962963,5.1,7.7639590666403,92.9,0.1352702980688497,0
0.7890097962962963,5.8,7.7639590666403,99.9,0.1352702980688497,0
0.7890097962962963,5.4,7.7639590666403,95.4,0.1352702980688497,0
0.7890097962962963,5.973470599146726,8.16,93.87625272331155,0.1352702980688497,1
0.03,9.6,7.39,55.3,0.31,0
0.17,4.2,7.48,79.1,0.14,0
0.41,7.6,7.84,87.7,0.21,0
0.048,7.5,7.93,97.1,0.12,0
0.042,5.4,8.21,99.4,0.039,0
0.067,4.7,8.24,95.2,0.027,0
0.11,5.5,8.34,103.6,0.058,0
