index,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
0,Montrose Beach,08/30/2013 08:00:00 AM,20.3,1.18,0.891,0.08,3.0,9.4,8/30/2013 8:00 AM,MontroseBeach201308300800
1,Ohio Street Beach,05/26/2016 01:00:00 PM,14.4,1.23,,0.111,4.0,12.4,05/26/2016 1:00 PM,OhioStreetBeach201605261300
2,Calumet Beach,09/03/2013 04:00:00 PM,23.2,3.63,1.201,0.174,6.0,9.4,9/3/2013 4:00 PM,CalumetBeach201309031600
3,Calumet Beach,05/28/2014 12:00:00 PM,16.2,1.26,1.514,0.147,4.0,11.7,5/28/2014 12:00 PM,CalumetBeach201405281200
4,Montrose Beach,05/28/2014 12:00:00 PM,14.4,3.36,1.388,0.298,4.0,11.9,5/28/2014 12:00 PM,MontroseBeach201405281200
5,Montrose Beach,05/28/2014 01:00:00 PM,14.5,2.72,1.395,0.306,3.0,11.9,5/28/2014 1:00 PM,MontroseBeach201405281300
6,Calumet Beach,05/28/2014 01:00:00 PM,16.3,1.28,1.524,0.162,4.0,11.7,5/28/2014 1:00 PM,CalumetBeach201405281300
7,Montrose Beach,05/28/2014 02:00:00 PM,14.8,2.97,1.386,0.328,3.0,11.9,5/28/2014 2:00 PM,MontroseBeach201405281400
8,Calumet Beach,05/28/2014 02:00:00 PM,16.5,1.32,1.537,0.185,4.0,11.7,5/28/2014 2:00 PM,CalumetBeach201405281400
9,Calumet Beach,05/28/2014 03:00:00 PM,16.8,1.31,1.568,0.196,4.0,11.7,5/28/2014 3:00 PM,CalumetBeach201405281500
10,Montrose Beach,05/28/2014 03:00:00 PM,14.5,4.3,1.377,0.328,3.0,11.9,5/28/2014 3:00 PM,MontroseBeach201405281500
11,Calumet Beach,05/28/2014 04:00:00 PM,17.1,1.37,1.52,0.194,4.0,11.7,5/28/2014 4:00 PM,CalumetBeach201405281600
12,Montrose Beach,05/28/2014 04:00:00 PM,14.4,4.87,1.366,0.341,3.0,11.9,5/28/2014 4:00 PM,MontroseBeach201405281600
13,Calumet Beach,05/28/2014 05:00:00 PM,17.2,1.48,1.525,0.203,4.0,11.7,5/28/2014 5:00 PM,CalumetBeach201405281700
14,Montrose Beach,05/28/2014 05:00:00 PM,14.1,5.06,1.382,0.34,4.0,11.9,5/28/2014 5:00 PM,MontroseBeach201405281700
15,Montrose Beach,05/28/2014 06:00:00 PM,14.2,5.76,1.415,0.356,3.0,11.9,5/28/2014 6:00 PM,MontroseBeach201405281800
16,Calumet Beach,05/28/2014 06:00:00 PM,17.1,1.8,1.501,0.188,4.0,11.7,5/28/2014 6:00 PM,CalumetBeach201405281800
17,Calumet Beach,05/28/2014 07:00:00 PM,17.0,1.82,1.487,0.194,4.0,11.7,5/28/2014 7:00 PM,CalumetBeach201405281900
18,Montrose Beach,05/28/2014 07:00:00 PM,14.2,6.32,1.386,0.346,3.0,11.9,5/28/2014 7:00 PM,MontroseBeach201405281900
19,Montrose Beach,05/28/2014 08:00:00 PM,14.4,6.89,1.401,0.38,4.0,11.9,5/28/2014 8:00 PM,MontroseBeach201405282000
20,Calumet Beach,05/28/2014 08:00:00 PM,17.0,1.83,1.488,0.196,4.0,11.7,5/28/2014 8:00 PM,CalumetBeach201405282000
21,Montrose Beach,05/28/2014 09:00:00 PM,14.5,7.11,1.374,0.361,5.0,11.9,5/28/2014 9:00 PM,MontroseBeach201405282100
22,Calumet Beach,05/28/2014 09:00:00 PM,16.8,1.9,1.494,0.181,4.0,11.7,5/28/2014 9:00 PM,CalumetBeach201405282100
23,Montrose Beach,05/28/2014 10:00:00 PM,14.5,6.88,1.413,0.345,4.0,11.9,5/28/2014 10:00 PM,MontroseBeach201405282200
24,Calumet Beach,05/28/2014 10:00:00 PM,16.7,1.83,1.467,0.18,4.0,11.7,5/28/2014 10:00 PM,CalumetBeach201405282200
25,Montrose Beach,05/28/2014 11:00:00 PM,14.3,7.32,1.406,0.331,4.0,11.9,5/28/2014 11:00 PM,MontroseBeach201405282300
26,Calumet Beach,05/28/2014 11:00:00 PM,16.5,1.69,1.548,0.177,4.0,11.7,5/28/2014 11:00 PM,CalumetBeach201405282300
27,Calumet Beach,05/29/2014 01:00:00 AM,16.3,1.62,1.519,0.159,4.0,11.7,5/29/2014 1:00 AM,CalumetBeach201405290100
28,Montrose Beach,05/29/2014 01:00:00 AM,14.2,7.18,1.46,0.305,4.0,11.9,5/29/2014 1:00 AM,MontroseBeach201405290100
29,Montrose Beach,05/29/2014 02:00:00 AM,14.2,6.35,1.45,0.321,3.0,11.9,5/29/2014 2:00 AM,MontroseBeach201405290200
30,Calumet Beach,05/29/2014 02:00:00 AM,16.2,1.57,1.535,0.154,4.0,11.7,5/29/2014 2:00 AM,CalumetBeach201405290200
31,Calumet Beach,05/29/2014 03:00:00 AM,16.1,1.8,1.557,0.163,4.0,11.7,5/29/2014 3:00 AM,CalumetBeach201405290300
32,Montrose Beach,05/29/2014 03:00:00 AM,14.1,6.78,1.468,0.285,4.0,11.8,5/29/2014 3:00 AM,MontroseBeach201405290300
33,Calumet Beach,05/29/2014 04:00:00 AM,16.1,1.82,1.507,0.156,4.0,11.7,5/29/2014 4:00 AM,CalumetBeach201405290400
34,Montrose Beach,05/29/2014 04:00:00 AM,14.1,6.27,1.456,0.306,3.0,11.8,5/29/2014 4:00 AM,MontroseBeach201405290400
35,Montrose Beach,05/29/2014 05:00:00 AM,14.0,5.63,1.421,0.282,3.0,11.8,5/29/2014 5:00 AM,MontroseBeach201405290500
36,Calumet Beach,05/29/2014 05:00:00 AM,15.9,1.73,1.513,0.158,3.0,11.7,5/29/2014 5:00 AM,CalumetBeach201405290500
37,Calumet Beach,05/29/2014 06:00:00 AM,15.9,1.73,1.508,0.151,3.0,11.7,5/29/2014 6:00 AM,CalumetBeach201405290600
38,Montrose Beach,05/29/2014 06:00:00 AM,13.8,5.05,1.41,0.248,4.0,11.8,5/29/2014 6:00 AM,MontroseBeach201405290600
39,Montrose Beach,05/29/2014 07:00:00 AM,13.8,5.73,1.398,0.235,4.0,11.8,5/29/2014 7:00 AM,MontroseBeach201405290700
40,Calumet Beach,05/29/2014 07:00:00 AM,15.9,1.74,1.491,0.148,4.0,11.7,5/29/2014 7:00 AM,CalumetBeach201405290700
41,Montrose Beach,05/29/2014 08:00:00 AM,13.9,5.57,1.398,0.244,4.0,11.8,5/29/2014 8:00 AM,MontroseBeach201405290800
42,Calumet Beach,05/29/2014 08:00:00 AM,15.8,1.77,1.498,0.146,4.0,11.7,5/29/2014 8:00 AM,CalumetBeach201405290800
43,Calumet Beach,05/29/2014 09:00:00 AM,15.9,1.64,1.538,0.125,4.0,11.7,5/29/2014 9:00 AM,CalumetBeach201405290900
44,Montrose Beach,05/29/2014 09:00:00 AM,13.9,6.49,1.407,0.292,3.0,11.8,5/29/2014 9:00 AM,MontroseBeach201405290900
45,Montrose Beach,05/29/2014 10:00:00 AM,14.1,5.67,1.415,0.277,2.0,11.8,5/29/2014 10:00 AM,MontroseBeach201405291000
46,Calumet Beach,05/29/2014 10:00:00 AM,16.0,1.75,1.495,0.129,4.0,11.7,5/29/2014 10:00 AM,CalumetBeach201405291000
47,Calumet Beach,05/29/2014 11:00:00 AM,16.2,1.59,1.596,0.141,4.0,11.7,5/29/2014 11:00 AM,CalumetBeach201405291100
48,Montrose Beach,05/29/2014 11:00:00 AM,14.3,6.4,1.458,0.286,5.0,11.8,5/29/2014 11:00 AM,MontroseBeach201405291100
49,Calumet Beach,05/29/2014 12:00:00 PM,16.4,1.55,1.491,0.144,4.0,11.7,5/29/2014 12:00 PM,CalumetBeach201405291200
50,Montrose Beach,05/29/2014 12:00:00 PM,14.6,6.19,1.432,0.301,3.0,11.8,5/29/2014 12:00 PM,MontroseBeach201405291200
51,Montrose Beach,05/29/2014 01:00:00 PM,14.8,6.28,1.526,0.282,5.0,11.8,5/29/2014 1:00 PM,MontroseBeach201405291300
52,Calumet Beach,05/29/2014 01:00:00 PM,16.6,1.58,1.499,0.154,2.0,11.7,5/29/2014 1:00 PM,CalumetBeach201405291300
53,Calumet Beach,05/29/2014 02:00:00 PM,16.7,1.44,1.682,0.159,5.0,11.7,5/29/2014 2:00 PM,CalumetBeach201405291400
54,Montrose Beach,05/29/2014 02:00:00 PM,14.9,6.36,1.391,0.319,3.0,11.8,5/29/2014 2:00 PM,MontroseBeach201405291400
55,Montrose Beach,05/29/2014 03:00:00 PM,15.1,5.98,1.449,0.296,3.0,11.8,5/29/2014 3:00 PM,MontroseBeach201405291500
56,Calumet Beach,05/29/2014 03:00:00 PM,16.9,1.4,1.488,0.164,4.0,11.7,5/29/2014 3:00 PM,CalumetBeach201405291500
57,Calumet Beach,05/29/2014 04:00:00 PM,16.9,1.35,1.562,0.17,4.0,11.7,5/29/2014 4:00 PM,CalumetBeach201405291600
58,Montrose Beach,05/29/2014 04:00:00 PM,15.2,6.26,1.448,0.313,3.0,11.8,5/29/2014 4:00 PM,MontroseBeach201405291600
59,Montrose Beach,05/29/2014 05:00:00 PM,15.5,7.06,1.406,0.288,3.0,11.8,5/29/2014 5:00 PM,MontroseBeach201405291700
60,Calumet Beach,05/29/2014 05:00:00 PM,16.8,1.45,1.546,0.168,3.0,11.7,5/29/2014 5:00 PM,CalumetBeach201405291700
61,Calumet Beach,05/29/2014 06:00:00 PM,16.9,1.35,1.47,0.179,3.0,11.7,5/29/2014 6:00 PM,CalumetBeach201405291800
62,Montrose Beach,05/29/2014 06:00:00 PM,15.3,6.51,1.401,0.298,3.0,11.8,5/29/2014 6:00 PM,MontroseBeach201405291800
63,Montrose Beach,05/29/2014 07:00:00 PM,15.5,6.71,1.4,0.287,3.0,11.8,5/29/2014 7:00 PM,MontroseBeach201405291900
64,Calumet Beach,05/29/2014 07:00:00 PM,16.8,1.39,1.51,0.175,3.0,11.7,5/29/2014 7:00 PM,CalumetBeach201405291900
65,Montrose Beach,05/29/2014 08:00:00 PM,15.3,6.17,1.406,0.298,3.0,11.8,5/29/2014 8:00 PM,MontroseBeach201405292000
66,Calumet Beach,05/29/2014 08:00:00 PM,16.7,1.46,1.413,0.182,4.0,11.7,5/29/2014 8:00 PM,CalumetBeach201405292000
67,Montrose Beach,05/29/2014 09:00:00 PM,15.4,5.9,1.416,0.286,3.0,11.8,5/29/2014 9:00 PM,MontroseBeach201405292100
68,Calumet Beach,05/29/2014 09:00:00 PM,16.8,1.4,1.482,0.189,3.0,11.7,5/29/2014 9:00 PM,CalumetBeach201405292100
69,Montrose Beach,05/29/2014 10:00:00 PM,15.2,6.03,1.4,0.266,3.0,11.8,5/29/2014 10:00 PM,MontroseBeach201405292200
70,Calumet Beach,05/29/2014 10:00:00 PM,16.9,1.51,1.481,0.177,4.0,11.7,5/29/2014 10:00 PM,CalumetBeach201405292200
71,Calumet Beach,05/29/2014 11:00:00 PM,16.8,1.55,1.511,0.194,3.0,11.7,5/29/2014 11:00 PM,CalumetBeach201405292300
72,Montrose Beach,05/29/2014 11:00:00 PM,15.2,5.71,1.397,0.262,3.0,11.8,5/29/2014 11:00 PM,MontroseBeach201405292300
73,Calumet Beach,05/30/2014 12:00:00 AM,16.6,1.79,1.539,0.21,4.0,11.7,5/30/2014 12:00 AM,CalumetBeach201405302400
74,Montrose Beach,05/30/2014 12:00:00 AM,15.2,6.09,1.438,0.234,3.0,11.8,5/30/2014 12:00 AM,MontroseBeach201405302400
75,Calumet Beach,05/30/2014 01:00:00 AM,16.4,1.74,1.437,0.176,4.0,11.7,5/30/2014 1:00 AM,CalumetBeach201405300100
76,Montrose Beach,05/30/2014 01:00:00 AM,15.0,5.98,1.379,0.26,3.0,11.8,5/30/2014 1:00 AM,MontroseBeach201405300100
77,Montrose Beach,05/30/2014 02:00:00 AM,15.0,5.92,1.504,0.26,3.0,11.8,5/30/2014 2:00 AM,MontroseBeach201405300200
78,Calumet Beach,05/30/2014 02:00:00 AM,16.4,1.53,1.579,0.193,4.0,11.7,5/30/2014 2:00 AM,CalumetBeach201405300200
79,Calumet Beach,05/30/2014 03:00:00 AM,16.3,1.72,1.564,0.176,4.0,11.7,5/30/2014 3:00 AM,CalumetBeach201405300300
80,Montrose Beach,05/30/2014 03:00:00 AM,14.9,6.51,1.422,0.261,3.0,11.8,5/30/2014 3:00 AM,MontroseBeach201405300300
81,Montrose Beach,05/30/2014 04:00:00 AM,14.8,5.35,1.441,0.266,4.0,11.8,5/30/2014 4:00 AM,MontroseBeach201405300400
82,Calumet Beach,05/30/2014 04:00:00 AM,16.2,1.77,1.513,0.168,3.0,11.7,5/30/2014 4:00 AM,CalumetBeach201405300400
83,Calumet Beach,05/30/2014 05:00:00 AM,16.2,1.6,1.465,0.152,3.0,11.7,5/30/2014 5:00 AM,CalumetBeach201405300500
84,Montrose Beach,05/30/2014 05:00:00 AM,14.8,5.66,1.441,0.253,4.0,11.8,5/30/2014 5:00 AM,MontroseBeach201405300500
85,Montrose Beach,05/30/2014 06:00:00 AM,14.7,5.53,1.401,0.219,3.0,11.8,5/30/2014 6:00 AM,MontroseBeach201405300600
86,Calumet Beach,05/30/2014 06:00:00 AM,16.1,1.53,1.5,0.144,3.0,11.7,5/30/2014 6:00 AM,CalumetBeach201405300600
87,Calumet Beach,05/30/2014 07:00:00 AM,16.1,1.71,1.559,0.132,3.0,11.7,5/30/2014 7:00 AM,CalumetBeach201405300700
88,Montrose Beach,05/30/2014 07:00:00 AM,14.7,5.53,1.455,0.22,4.0,11.8,5/30/2014 7:00 AM,MontroseBeach201405300700
89,Calumet Beach,05/30/2014 08:00:00 AM,16.2,1.68,1.496,0.127,3.0,11.7,5/30/2014 8:00 AM,CalumetBeach201405300800
90,Montrose Beach,05/30/2014 08:00:00 AM,14.8,5.58,1.4,0.228,3.0,11.8,5/30/2014 8:00 AM,MontroseBeach201405300800
91,Montrose Beach,05/30/2014 09:00:00 AM,15.0,5.36,1.399,0.223,3.0,11.8,5/30/2014 9:00 AM,MontroseBeach201405300900
92,Calumet Beach,05/30/2014 09:00:00 AM,16.3,1.59,1.453,0.108,3.0,11.6,5/30/2014 9:00 AM,CalumetBeach201405300900
93,Montrose Beach,05/30/2014 10:00:00 AM,15.2,5.03,1.429,0.198,3.0,11.8,5/30/2014 10:00 AM,MontroseBeach201405301000
94,Calumet Beach,05/30/2014 10:00:00 AM,16.6,1.52,1.52,0.111,3.0,11.6,5/30/2014 10:00 AM,CalumetBeach201405301000
95,Calumet Beach,05/30/2014 11:00:00 AM,16.8,1.45,1.492,0.107,3.0,11.6,5/30/2014 11:00 AM,CalumetBeach201405301100
96,Montrose Beach,05/30/2014 11:00:00 AM,15.5,5.28,1.443,0.202,3.0,11.8,5/30/2014 11:00 AM,MontroseBeach201405301100
97,Montrose Beach,05/30/2014 12:00:00 PM,15.8,5.04,1.454,0.193,3.0,11.8,5/30/2014 12:00 PM,MontroseBeach201405301200
98,Calumet Beach,05/30/2014 12:00:00 PM,17.2,1.46,1.496,0.116,3.0,11.6,5/30/2014 12:00 PM,CalumetBeach201405301200
99,Calumet Beach,05/30/2014 01:00:00 PM,17.4,1.52,1.525,0.108,3.0,11.6,5/30/2014 1:00 PM,CalumetBeach201405301300
100,Montrose Beach,05/30/2014 01:00:00 PM,16.1,4.71,1.472,0.199,3.0,11.8,5/30/2014 1:00 PM,MontroseBeach201405301300
101,Montrose Beach,05/30/2014 02:00:00 PM,16.4,4.43,1.429,0.226,2.0,11.8,5/30/2014 2:00 PM,MontroseBeach201405301400
102,Calumet Beach,05/30/2014 02:00:00 PM,17.5,1.58,1.523,0.115,3.0,11.6,5/30/2014 2:00 PM,CalumetBeach201405301400
103,Calumet Beach,05/30/2014 03:00:00 PM,17.8,1.52,1.512,0.14,2.0,11.6,5/30/2014 3:00 PM,CalumetBeach201405301500
104,Montrose Beach,05/30/2014 03:00:00 PM,16.7,4.62,1.437,0.196,2.0,11.8,5/30/2014 3:00 PM,MontroseBeach201405301500
105,Montrose Beach,05/30/2014 04:00:00 PM,16.8,4.41,1.403,0.229,2.0,11.8,5/30/2014 4:00 PM,MontroseBeach201405301600
106,Calumet Beach,05/30/2014 04:00:00 PM,17.7,1.48,1.568,0.129,3.0,11.6,5/30/2014 4:00 PM,CalumetBeach201405301600
107,Montrose Beach,05/30/2014 05:00:00 PM,16.8,4.31,1.438,0.23,3.0,11.8,5/30/2014 5:00 PM,MontroseBeach201405301700
108,Calumet Beach,05/30/2014 05:00:00 PM,17.6,1.42,1.518,0.141,2.0,11.6,5/30/2014 5:00 PM,CalumetBeach201405301700
109,Calumet Beach,05/30/2014 06:00:00 PM,17.7,1.43,1.407,0.141,3.0,11.6,5/30/2014 6:00 PM,CalumetBeach201405301800
110,Montrose Beach,05/30/2014 06:00:00 PM,16.7,4.16,1.44,0.219,2.0,11.8,5/30/2014 6:00 PM,MontroseBeach201405301800
111,Montrose Beach,05/30/2014 07:00:00 PM,16.8,4.4,1.385,0.201,2.0,11.8,5/30/2014 7:00 PM,MontroseBeach201405301900
112,Calumet Beach,05/30/2014 07:00:00 PM,17.7,1.39,1.474,0.147,2.0,11.6,5/30/2014 7:00 PM,CalumetBeach201405301900
113,Montrose Beach,05/30/2014 08:00:00 PM,16.7,4.05,1.392,0.201,2.0,11.8,5/30/2014 8:00 PM,MontroseBeach201405302000
114,Calumet Beach,05/30/2014 08:00:00 PM,17.6,1.44,1.508,0.163,3.0,11.6,5/30/2014 8:00 PM,CalumetBeach201405302000
115,Montrose Beach,05/30/2014 09:00:00 PM,16.7,4.17,1.362,0.178,2.0,11.8,5/30/2014 9:00 PM,MontroseBeach201405302100
116,Calumet Beach,05/30/2014 09:00:00 PM,17.8,1.41,1.443,0.157,3.0,11.6,5/30/2014 9:00 PM,CalumetBeach201405302100
117,Calumet Beach,05/30/2014 10:00:00 PM,17.8,1.45,1.441,0.144,3.0,11.6,5/30/2014 10:00 PM,CalumetBeach201405302200
118,Montrose Beach,05/30/2014 10:00:00 PM,16.5,3.83,1.412,0.16,2.0,11.8,5/30/2014 10:00 PM,MontroseBeach201405302200
119,Calumet Beach,05/30/2014 11:00:00 PM,17.6,1.44,1.496,0.155,3.0,11.6,5/30/2014 11:00 PM,CalumetBeach201405302300
120,Montrose Beach,05/30/2014 11:00:00 PM,16.5,3.94,1.393,0.182,3.0,11.8,5/30/2014 11:00 PM,MontroseBeach201405302300
121,Montrose Beach,05/31/2014 12:00:00 AM,16.5,3.63,1.428,0.168,2.0,11.8,5/31/2014 12:00 AM,MontroseBeach201405312400
122,Calumet Beach,05/31/2014 12:00:00 AM,17.2,1.58,1.506,0.144,3.0,11.6,5/31/2014 12:00 AM,CalumetBeach201405312400
123,Calumet Beach,05/31/2014 01:00:00 AM,17.1,1.43,1.525,0.132,3.0,11.6,5/31/2014 1:00 AM,CalumetBeach201405310100
124,Montrose Beach,05/31/2014 01:00:00 AM,16.4,3.68,1.434,0.152,2.0,11.8,5/31/2014 1:00 AM,MontroseBeach201405310100
125,Montrose Beach,05/31/2014 02:00:00 AM,16.3,3.56,1.473,0.144,3.0,11.8,5/31/2014 2:00 AM,MontroseBeach201405310200
126,Calumet Beach,05/31/2014 02:00:00 AM,17.0,1.44,1.515,0.137,3.0,11.6,5/31/2014 2:00 AM,CalumetBeach201405310200
127,Montrose Beach,05/31/2014 03:00:00 AM,16.2,3.38,1.444,0.147,3.0,11.8,5/31/2014 3:00 AM,MontroseBeach201405310300
128,Calumet Beach,05/31/2014 03:00:00 AM,16.8,1.5,1.581,0.136,3.0,11.6,5/31/2014 3:00 AM,CalumetBeach201405310300
129,Montrose Beach,05/31/2014 04:00:00 AM,16.0,3.08,1.438,0.166,3.0,11.8,5/31/2014 4:00 AM,MontroseBeach201405310400
130,Calumet Beach,05/31/2014 04:00:00 AM,16.8,1.71,1.517,0.133,4.0,11.6,5/31/2014 4:00 AM,CalumetBeach201405310400
131,Montrose Beach,05/31/2014 05:00:00 AM,16.0,3.0,1.449,0.161,2.0,11.8,5/31/2014 5:00 AM,MontroseBeach201405310500
132,Calumet Beach,05/31/2014 05:00:00 AM,16.7,1.58,1.526,0.134,3.0,11.6,5/31/2014 5:00 AM,CalumetBeach201405310500
133,Montrose Beach,05/31/2014 06:00:00 AM,15.9,3.11,1.411,0.163,3.0,11.8,5/31/2014 6:00 AM,MontroseBeach201405310600
134,Calumet Beach,05/31/2014 06:00:00 AM,17.0,2.2,1.515,0.127,3.0,11.6,5/31/2014 6:00 AM,CalumetBeach201405310600
135,Montrose Beach,05/31/2014 07:00:00 AM,16.0,3.16,1.448,0.147,3.0,11.8,5/31/2014 7:00 AM,MontroseBeach201405310700
136,Calumet Beach,05/31/2014 07:00:00 AM,16.8,1.68,1.464,0.118,3.0,11.6,5/31/2014 7:00 AM,CalumetBeach201405310700
137,Montrose Beach,05/31/2014 08:00:00 AM,16.0,3.18,1.401,0.138,3.0,11.8,5/31/2014 8:00 AM,MontroseBeach201405310800
138,Calumet Beach,05/31/2014 08:00:00 AM,17.0,1.7,1.516,0.113,3.0,11.6,5/31/2014 8:00 AM,CalumetBeach201405310800
139,Montrose Beach,05/31/2014 09:00:00 AM,16.2,3.07,1.421,0.145,3.0,11.8,5/31/2014 9:00 AM,MontroseBeach201405310900
140,Calumet Beach,05/31/2014 09:00:00 AM,17.1,1.62,1.498,0.1,3.0,11.6,5/31/2014 9:00 AM,CalumetBeach201405310900
141,Montrose Beach,05/31/2014 10:00:00 AM,16.5,2.88,1.412,0.144,3.0,11.8,5/31/2014 10:00 AM,MontroseBeach201405311000
142,Calumet Beach,05/31/2014 10:00:00 AM,17.4,1.66,1.503,0.097,3.0,11.6,5/31/2014 10:00 AM,CalumetBeach201405311000
143,Montrose Beach,05/31/2014 11:00:00 AM,16.8,2.91,1.442,0.158,4.0,11.8,5/31/2014 11:00 AM,MontroseBeach201405311100
144,Calumet Beach,05/31/2014 11:00:00 AM,17.8,1.76,1.518,0.096,3.0,11.6,5/31/2014 11:00 AM,CalumetBeach201405311100
145,Montrose Beach,05/31/2014 12:00:00 PM,17.3,2.49,1.395,0.131,2.0,11.8,5/31/2014 12:00 PM,MontroseBeach201405311200
146,Calumet Beach,05/31/2014 12:00:00 PM,18.0,1.31,1.492,0.109,2.0,11.6,5/31/2014 12:00 PM,CalumetBeach201405311200
147,Montrose Beach,05/31/2014 01:00:00 PM,17.6,2.85,1.431,0.15,3.0,11.8,5/31/2014 1:00 PM,MontroseBeach201405311300
148,Calumet Beach,05/31/2014 01:00:00 PM,18.4,1.31,1.539,0.106,3.0,11.6,5/31/2014 1:00 PM,CalumetBeach201405311300
149,Calumet Beach,05/31/2014 02:00:00 PM,19.2,1.19,1.531,0.115,3.0,11.6,5/31/2014 2:00 PM,CalumetBeach201405311400
150,Montrose Beach,05/31/2014 02:00:00 PM,19.2,3.57,1.395,0.156,3.0,11.8,5/31/2014 2:00 PM,MontroseBeach201405311400
151,Calumet Beach,05/31/2014 03:00:00 PM,19.3,1.25,1.514,0.11,2.0,11.6,5/31/2014 3:00 PM,CalumetBeach201405311500
152,Montrose Beach,05/31/2014 03:00:00 PM,19.7,3.68,1.458,0.158,2.0,11.7,5/31/2014 3:00 PM,MontroseBeach201405311500
153,Montrose Beach,05/31/2014 04:00:00 PM,20.1,3.11,1.454,0.215,4.0,11.8,5/31/2014 4:00 PM,MontroseBeach201405311600
154,Calumet Beach,05/31/2014 04:00:00 PM,19.8,1.16,1.533,0.166,2.0,11.6,5/31/2014 4:00 PM,CalumetBeach201405311600
155,Montrose Beach,05/31/2014 05:00:00 PM,19.4,2.54,1.435,0.243,2.0,11.8,5/31/2014 5:00 PM,MontroseBeach201405311700
156,Calumet Beach,05/31/2014 05:00:00 PM,20.3,1.27,1.509,0.158,2.0,11.6,5/31/2014 5:00 PM,CalumetBeach201405311700
157,Calumet Beach,05/31/2014 06:00:00 PM,21.0,1.65,1.515,0.226,3.0,11.6,5/31/2014 6:00 PM,CalumetBeach201405311800
158,Montrose Beach,05/31/2014 06:00:00 PM,18.4,2.64,1.427,0.218,2.0,11.8,5/31/2014 6:00 PM,MontroseBeach201405311800
159,Calumet Beach,05/31/2014 07:00:00 PM,20.6,1.43,1.483,0.18,3.0,11.6,5/31/2014 7:00 PM,CalumetBeach201405311900
160,Montrose Beach,05/31/2014 07:00:00 PM,19.5,3.82,1.385,0.205,3.0,11.8,5/31/2014 7:00 PM,MontroseBeach201405311900
161,Calumet Beach,05/31/2014 08:00:00 PM,20.4,1.38,1.426,0.156,3.0,11.6,5/31/2014 8:00 PM,CalumetBeach201405312000
162,Montrose Beach,05/31/2014 08:00:00 PM,18.1,2.66,1.409,0.211,3.0,11.8,5/31/2014 8:00 PM,MontroseBeach201405312000
163,Montrose Beach,05/31/2014 09:00:00 PM,17.7,2.49,1.38,0.22,3.0,11.8,5/31/2014 9:00 PM,MontroseBeach201405312100
164,Calumet Beach,05/31/2014 09:00:00 PM,20.3,1.77,1.468,0.178,3.0,11.6,5/31/2014 9:00 PM,CalumetBeach201405312100
165,Calumet Beach,05/31/2014 10:00:00 PM,19.6,1.43,1.477,0.177,3.0,11.6,5/31/2014 10:00 PM,CalumetBeach201405312200
166,Montrose Beach,05/31/2014 10:00:00 PM,17.0,2.18,1.373,0.2,3.0,11.8,5/31/2014 10:00 PM,MontroseBeach201405312200
167,Calumet Beach,05/31/2014 11:00:00 PM,19.2,1.38,1.501,0.163,3.0,11.6,5/31/2014 11:00 PM,CalumetBeach201405312300
168,Montrose Beach,05/31/2014 11:00:00 PM,16.7,2.09,1.392,0.204,3.0,11.8,5/31/2014 11:00 PM,MontroseBeach201405312300
169,Calumet Beach,06/01/2014 12:00:00 AM,19.3,1.56,1.474,0.173,3.0,11.6,6/1/2014 12:00 AM,CalumetBeach201406012400
170,Montrose Beach,06/01/2014 12:00:00 AM,16.3,2.04,1.394,0.194,2.0,11.7,6/1/2014 12:00 AM,MontroseBeach201406012400
171,Calumet Beach,06/01/2014 01:00:00 AM,19.1,1.43,1.469,0.16,3.0,11.6,6/1/2014 1:00 AM,CalumetBeach201406010100
172,Montrose Beach,06/01/2014 01:00:00 AM,16.2,1.95,1.412,0.191,3.0,11.8,6/1/2014 1:00 AM,MontroseBeach201406010100
173,Montrose Beach,06/01/2014 02:00:00 AM,16.0,1.7,1.438,0.192,3.0,11.7,6/1/2014 2:00 AM,MontroseBeach201406010200
174,Calumet Beach,06/01/2014 02:00:00 AM,18.6,1.37,1.523,0.17,3.0,11.6,6/1/2014 2:00 AM,CalumetBeach201406010200
175,Calumet Beach,06/01/2014 03:00:00 AM,18.2,1.45,1.502,0.183,3.0,11.6,6/1/2014 3:00 AM,CalumetBeach201406010300
176,Montrose Beach,06/01/2014 03:00:00 AM,15.7,1.16,1.386,0.186,3.0,11.7,6/1/2014 3:00 AM,MontroseBeach201406010300
177,Montrose Beach,06/01/2014 04:00:00 AM,15.4,0.86,1.419,0.176,3.0,11.7,6/1/2014 4:00 AM,MontroseBeach201406010400
178,Calumet Beach,06/01/2014 04:00:00 AM,17.9,1.56,1.473,0.17,3.0,11.6,6/1/2014 4:00 AM,CalumetBeach201406010400
179,Calumet Beach,06/01/2014 05:00:00 AM,17.8,1.65,1.477,0.174,3.0,11.6,6/1/2014 5:00 AM,CalumetBeach201406010500
180,Montrose Beach,06/01/2014 05:00:00 AM,15.3,0.62,1.399,0.162,3.0,11.7,6/1/2014 5:00 AM,MontroseBeach201406010500
181,Calumet Beach,06/01/2014 06:00:00 AM,17.7,1.5,1.471,0.172,3.0,11.6,6/1/2014 6:00 AM,CalumetBeach201406010600
182,Montrose Beach,06/01/2014 06:00:00 AM,15.1,0.54,1.385,0.154,3.0,11.7,6/1/2014 6:00 AM,MontroseBeach201406010600
